family,family_name,converter_id,converter_name,public_label,display_order,speed_ratio,k_factor,torque_ratio,status,customer_visible
230,230,230-230-a-25degcut,230 A 25°Cut,230 A 25°Cut,9,0.8,274.68,1.101,published,true
230,230,230-230-a-25degcut,230 A 25°Cut,230 A 25°Cut,10,0.85,288.94,1.05,published,true
230,230,230-230-a-25degcut,230 A 25°Cut,230 A 25°Cut,11,0.9,308.31,0.995,published,true
230,230,230-230-a-25degcut,230 A 25°Cut,230 A 25°Cut,12,0.92,315.84,0.974,published,true
230,230,230-230-a-25degcut,230 A 25°Cut,230 A 25°Cut,13,0.95,339.36,0.94,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,1,0.0,306.19,1.966,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,2,0.1,302.61,1.916,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,3,0.2,296.43,1.817,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,4,0.3,290.47,1.709,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,5,0.4,286.56,1.598,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,6,0.5,282.5,1.474,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,7,0.6,278.57,1.357,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,8,0.7,279.71,1.243,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,9,0.8,294.36,1.123,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,10,0.85,305.51,1.06,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,11,0.9,320.39,1.0,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,12,0.92,329.17,0.973,published,true
230,230,230-230-a-30degcut,230 A 30°Cut,230 A 30°Cut,13,0.95,360.3,0.939,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,1,0.0,290.46,1.947,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,2,0.1,287.62,1.898,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,3,0.2,284.39,1.816,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,4,0.3,280.42,1.716,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,5,0.4,275.63,1.596,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,6,0.5,272.39,1.486,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,7,0.6,269.66,1.362,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,8,0.7,273.47,1.246,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,9,0.8,286.43,1.119,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,10,0.85,297.98,1.058,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,11,0.9,313.14,0.994,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,12,0.92,320.34,0.967,published,true
230,230,230-230-a-35degcut,230 A 35°Cut,230 A 35°Cut,13,0.95,362.25,0.928,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,1,0.0,265.23,1.959,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,2,0.1,265.22,1.889,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,3,0.2,264.91,1.832,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,4,0.3,261.58,1.714,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,5,0.4,256.89,1.589,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,6,0.5,250.68,1.457,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,7,0.6,248.1,1.364,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,8,0.7,263.08,1.244,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,9,0.8,281.81,1.118,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,10,0.85,295.77,1.052,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,11,0.9,311.68,0.985,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,12,0.92,319.46,0.958,published,true
230,230,230-230-a-41degcut,230 A 41°Cut,230 A 41°Cut,13,0.95,383.26,0.917,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,1,0.0,261.3,1.971,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,2,0.1,264.14,1.934,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,3,0.2,256.97,1.798,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,4,0.3,250.54,1.662,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,5,0.4,244.57,1.522,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,6,0.5,242.63,1.416,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,7,0.6,239.14,1.314,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,8,0.7,251.42,1.213,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,9,0.8,271.72,1.102,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,10,0.85,284.89,1.042,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,11,0.9,305.35,0.979,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,12,0.92,319.68,0.957,published,true
230,230,230-230-a-45degcut,230 A 45°Cut,230 A 45°Cut,13,0.95,401.1,0.916,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,1,0.0,227.63,2.115,published,true
230,230,230-230-19b-c,230 19B C,230 19B C,2,0.1,218.06,1.989,published,true
